[33, 36, 54, 59, 72, 108, 139, 149]
[5, 71, 73, 79, 99, 104, 123, 128]
[6, 10, 27, 57, 70, 92, 103, 136]
[47, 53, 66, 67, 76, 98, 147, 148]
[35, 48, 68, 75, 81, 87, 93, 135]
[10, 44, 63, 69, 88, 95, 106, 132]
[55, 69, 73, 74, 105, 109, 144, 149]
[13, 30, 95, 112, 122, 129, 134, 138]
[14, 16, 22, 40, 66, 114, 129, 142]
[19, 29, 62, 74, 90, 94, 116, 144]
[5, 15, 34, 44, 49, 63, 76, 78]
[28, 34, 53, 66, 74, 97, 99, 131]
[8, 26, 38, 60, 67, 84, 126, 139]
[6, 25, 29, 39, 58, 60, 97, 98]
[0, 19, 24, 40, 60, 61, 77, 84]
[25, 101, 109, 118, 123, 138, 141, 143]
[0, 9, 23, 39, 66, 93, 96, 147]
[5, 7, 57, 61, 70, 73, 143, 146]
[1, 7, 10, 13, 57, 95, 123, 150]
[19, 58, 77, 93, 95, 118, 134, 138]
[19, 30, 53, 90, 121, 122, 124, 138]
[4, 36, 57, 58, 63, 84, 95, 149]
[13, 19, 28, 46, 67, 97, 137, 141]
[6, 7, 14, 32, 77, 100, 130, 131]
[23, 32, 45, 48, 63, 89, 132, 150]
[0, 32, 62, 104, 112, 123, 131, 138]
[16, 29, 34, 66, 104, 108, 123, 142]
[17, 46, 47, 79, 81, 86, 90, 141]
[19, 27, 30, 44, 60, 96, 122, 137]
[9, 18, 27, 63, 68, 80, 116, 146]
[19, 28, 70, 94, 109, 135, 147, 150]
[42, 49, 64, 70, 75, 80, 96, 120]
[0, 17, 69, 73, 87, 114, 128, 146]
[6, 59, 68, 71, 78, 107, 121, 124]
[51, 54, 78, 83, 86, 88, 89, 118]
[0, 2, 14, 80, 97, 107, 144, 147]
[26, 27, 49, 52, 78, 90, 109, 145]
[7, 11, 44, 51, 54, 67, 132, 144]
[13, 47, 89, 92, 110, 131, 144, 148]
[22, 28, 40, 95, 106, 128, 136, 147]
[11, 25, 75, 94, 113, 124, 130, 145]
[22, 42, 53, 77, 80, 92, 113, 119]
[0, 19, 20, 24, 44, 52, 85, 132]
[25, 29, 32, 64, 75, 145, 147, 148]
[8, 23, 67, 108, 129, 131, 138, 150]
[11, 34, 52, 61, 96, 97, 116, 140]
[31, 60, 72, 91, 95, 102, 124, 148]
[18, 72, 77, 85, 110, 124, 144, 147]
[21, 39, 76, 80, 114, 117, 118, 131]
[38, 47, 116, 119, 125, 128, 142, 150]
[4, 16, 17, 36, 55, 60, 69, 125]
[2, 3, 5, 6, 21, 98, 122, 138]
[2, 8, 23, 56, 94, 107, 123, 145]
[11, 15, 22, 23, 121, 124, 130, 150]
[10, 13, 36, 44, 65, 68, 79, 109]
[23, 35, 58, 64, 93, 113, 117, 138]
[10, 26, 58, 67, 74, 93, 102, 143]
[17, 83, 88, 92, 97, 115, 142, 147]
[8, 57, 59, 79, 83, 113, 119, 149]
[16, 25, 41, 43, 51, 82, 122, 140]
[42, 45, 63, 80, 87, 113, 141, 145]
[1, 7, 14, 41, 53, 54, 67, 113]
[0, 3, 20, 21, 30, 44, 80, 112]
[7, 29, 50, 58, 100, 103, 129, 140]
[16, 22, 28, 61, 90, 106, 110, 127]
[9, 40, 74, 102, 123, 126, 133, 139]
[5, 22, 36, 51, 88, 108, 116, 140]
[6, 20, 22, 38, 45, 53, 123, 145]
[20, 31, 36, 49, 102, 132, 141, 142]
[60, 92, 120, 121, 133, 142, 143, 149]
[27, 30, 31, 42, 72, 79, 84, 106]
[18, 44, 58, 60, 64, 85, 122, 146]
[27, 32, 62, 75, 103, 104, 119, 148]
[35, 62, 84, 87, 88, 103, 121, 138]
[27, 45, 94, 104, 112, 113, 122, 148]
[2, 5, 10, 17, 45, 66, 113, 131]
[6, 31, 43, 61, 89, 103, 135, 138]
[24, 33, 51, 86, 113, 117, 131, 140]
[30, 49, 88, 91, 92, 98, 102, 147]
[17, 68, 72, 73, 108, 111, 118, 122]
[14, 48, 49, 53, 72, 76, 113, 146]
[2, 11, 23, 97, 106, 117, 120, 147]
[42, 62, 81, 88, 102, 117, 140, 150]
[14, 25, 28, 71, 81, 97, 141, 145]
[16, 34, 41, 92, 93, 119, 129, 149]
[10, 16, 30, 42, 101, 108, 119, 145]
[8, 15, 89, 113, 116, 123, 127, 131]
[0, 34, 45, 62, 71, 98, 116, 119]
[9, 15, 22, 31, 43, 74, 86, 89]
[26, 43, 81, 101, 104, 115, 133, 140]
[15, 17, 22, 76, 96, 104, 121, 136]
[2, 5, 13, 21, 38, 43, 77, 146]
[5, 48, 51, 87, 118, 122, 132, 144]
[2, 21, 63, 69, 98, 101, 118, 124]
[1, 6, 44, 63, 90, 117, 124, 143]
[8, 12, 23, 32, 51, 97, 106, 115]
[13, 22, 31, 33, 56, 64, 98, 116]
[34, 46, 50, 59, 63, 73, 106, 122]
