[28, 33, 34, 36, 67, 96, 123, 127]
[5, 6, 55, 61, 67, 91, 108, 144]
[5, 78, 93, 95, 101, 125, 138, 141]
[33, 69, 82, 103, 119, 130, 144, 146]
[33, 47, 57, 79, 82, 84, 106, 141]
[11, 15, 47, 78, 91, 93, 120, 138]
[3, 7, 12, 61, 78, 84, 86, 110]
[12, 18, 62, 69, 73, 92, 139, 147]
[19, 43, 70, 95, 99, 131, 135, 142]
[12, 29, 33, 36, 78, 83, 143, 150]
[20, 49, 54, 90, 102, 111, 114, 140]
[26, 63, 77, 85, 103, 118, 125, 145]
[17, 18, 39, 51, 73, 87, 93, 96]
[17, 27, 55, 73, 79, 108, 133, 141]
[25, 31, 91, 97, 106, 112, 114, 116]
[17, 32, 46, 51, 122, 126, 137, 146]
[16, 18, 25, 28, 50, 75, 96, 108]
[26, 45, 68, 71, 95, 103, 126, 133]
[10, 22, 28, 35, 40, 46, 68, 144]
[26, 57, 74, 80, 91, 99, 109, 110]
[10, 39, 61, 85, 97, 119, 120, 129]
[1, 3, 59, 78, 80, 88, 106, 123]
[3, 48, 85, 94, 112, 138, 145, 149]
[3, 28, 71, 75, 86, 132, 136, 139]
[9, 22, 25, 86, 88, 90, 114, 133]
[18, 25, 47, 66, 79, 87, 97, 138]
[43, 74, 82, 86, 89, 107, 110, 122]
[1, 39, 54, 67, 104, 116, 147, 149]
[1, 9, 40, 60, 80, 107, 128, 136]
[45, 50, 60, 74, 76, 85, 115, 136]
[9, 38, 62, 72, 78, 81, 99, 110]
[23, 54, 56, 81, 109, 123, 125, 132]
[8, 39, 47, 83, 98, 103, 127, 140]
[31, 34, 71, 106, 111, 112, 126, 143]
[2, 40, 41, 44, 45, 86, 106, 119]
[18, 25, 48, 81, 86, 112, 117, 140]
[0, 2, 3, 50, 52, 67, 102, 140]
[41, 82, 83, 97, 102, 103, 125, 141]
[14, 40, 81, 108, 124, 132, 134, 143]
[10, 20, 25, 40, 45, 98, 120, 135]
[6, 7, 47, 66, 88, 91, 106, 140]
[6, 22, 31, 39, 65, 123, 129, 137]
[33, 52, 77, 78, 82, 112, 137, 149]
[2, 80, 90, 91, 98, 112, 130, 138]
[6, 34, 49, 56, 62, 107, 120, 143]
[5, 41, 55, 73, 100, 137, 142, 144]
[54, 80, 98, 112, 122, 126, 128, 143]
[2, 27, 57, 90, 98, 125, 136, 145]
[26, 46, 59, 64, 94, 124, 134, 150]
[12, 21, 35, 60, 65, 111, 134, 136]
[27, 29, 41, 57, 64, 86, 95, 107]
[11, 43, 92, 132, 140, 145, 147, 150]
[2, 25, 28, 35, 72, 112, 114, 143]
[10, 11, 22, 32, 38, 67, 79, 116]
[10, 11, 63, 71, 78, 106, 136, 137]
[33, 39, 44, 86, 122, 132, 136, 140]
[4, 40, 74, 81, 97, 98, 99, 133]
[8, 28, 34, 74, 86, 101, 103, 104]
[27, 55, 62, 77, 83, 100, 107, 140]
[3, 49, 57, 71, 103, 123, 149, 150]
[5, 76, 86, 112, 118, 128, 131, 145]
[0, 23, 24, 30, 59, 88, 104, 149]
[24, 64, 68, 87, 88, 106, 128, 130]
[13, 21, 27, 32, 61, 64, 71, 148]
[4, 24, 28, 41, 66, 69, 106, 137]
[1, 26, 48, 61, 64, 67, 109, 114]
[20, 33, 37, 61, 64, 73, 85, 120]
[0, 37, 53, 69, 82, 105, 118, 147]
[3, 16, 51, 52, 70, 80, 92, 126]
[14, 22, 24, 52, 91, 113, 132, 150]
[1, 43, 57, 58, 89, 103, 127, 143]
[19, 26, 65, 92, 108, 112, 115, 131]
[7, 13, 50, 57, 63, 73, 133, 135]
[24, 28, 44, 53, 79, 93, 101, 145]
[9, 31, 40, 41, 87, 89, 95, 100]
[18, 39, 59, 80, 89, 127, 130, 137]
[21, 42, 52, 62, 70, 78, 89, 114]
[3, 13, 27, 35, 61, 106, 130, 132]
[7, 14, 30, 42, 43, 65, 91, 145]
[11, 22, 85, 92, 118, 132, 147, 148]
[49, 72, 80, 83, 90, 113, 125, 137]
[12, 34, 52, 75, 78, 102, 118, 122]
[25, 33, 42, 43, 46, 47, 107, 119]
[11, 17, 19, 24, 33, 56, 103, 135]
[8, 86, 92, 106, 118, 121, 136, 147]
[12, 15, 18, 97, 99, 121, 140, 143]
[17, 55, 83, 87, 103, 121, 133, 137]
[33, 74, 79, 101, 109, 113, 122, 125]
[1, 4, 16, 19, 27, 37, 58, 146]
[16, 17, 31, 35, 63, 110, 116, 125]
[29, 41, 71, 73, 102, 106, 112, 148]
[32, 55, 56, 59, 83, 90, 118, 148]
[0, 5, 20, 69, 74, 77, 135, 142]
[12, 40, 69, 78, 88, 99, 133, 136]
[13, 33, 54, 67, 81, 100, 107, 121]
[8, 59, 63, 77, 78, 79, 139, 140]
[7, 12, 62, 63, 68, 133, 136, 142]
[7, 18, 38, 48, 51, 53, 100, 144]
[14, 20, 30, 34, 87, 105, 110, 116]
[7, 18, 54, 88, 97, 118, 124, 126]
[13, 37, 48, 89, 102, 117, 120, 124]
