x^250 + x^245 + x^210 + x^208 + x^201 + x^194 + x^142 + x^118 + x^101 + x^82
x^229 + x^196 + x^170 + x^164 + x^161 + x^153 + x^144 + x^62 + x^14 + x^2
x^248 + x^217 + x^161 + x^124 + x^95 + x^84 + x^72 + x^60 + x^18 + x^16
x^189 + x^187 + x^171 + x^136 + x^118 + x^88 + x^68 + x^58 + x^56 + x^28
x^238 + x^230 + x^207 + x^190 + x^136 + x^122 + x^108 + x^92 + x^69 + x^47
x^246 + x^188 + x^173 + x^162 + x^157 + x^147 + x^112 + x^104 + x^40 + x^13
x^245 + x^217 + x^191 + x^174 + x^171 + x^159 + x^79 + x^62 + x^24 + x^17
x^204 + x^186 + x^180 + x^172 + x^138 + x^133 + x^113 + x^112 + x^96 + x^52
x^208 + x^144 + x^137 + x^134 + x^126 + x^95 + x^72 + x^61 + x^46 + x^17
x^246 + x^219 + x^207 + x^200 + x^168 + x^159 + x^135 + x^122 + x^117 + x^92
x^233 + x^230 + x^208 + x^197 + x^195 + x^149 + x^98 + x^37 + x^22 + x^14
x^247 + x^243 + x^240 + x^231 + x^215 + x^183 + x^139 + x^109 + x^32 + x^30
x^229 + x^224 + x^209 + x^194 + x^166 + x^79 + x^69 + x^59 + x^49 + x^13
x^208 + x^206 + x^158 + x^145 + x^140 + x^133 + x^92 + x^76 + x^37 + x^22
x^136 + x^134 + x^105 + x^95 + x^82 + x^73 + x^49 + x^39 + x^17 + x^16
x^226 + x^198 + x^150 + x^136 + x^121 + x^118 + x^11 + x^9 + x^6 + x^3
x^235 + x^233 + x^198 + x^197 + x^192 + x^190 + x^90 + x^79 + x^29 + x^22
x^250 + x^248 + x^215 + x^199 + x^191 + x^152 + x^120 + x^45 + x^24 + x^10
x^247 + x^213 + x^192 + x^178 + x^142 + x^130 + x^128 + x^116 + x^89 + x^38
x^250 + x^245 + x^231 + x^227 + x^155 + x^131 + x^113 + x^100 + x^31 + x^9
x^242 + x^187 + x^152 + x^108 + x^86 + x^83 + x^31 + x^23 + x^10 + x^8
x^249 + x^239 + x^220 + x^143 + x^93 + x^52 + x^41 + x^24 + x^19 + x^15
x^215 + x^200 + x^157 + x^74 + x^35 + x^23 + x^17 + x^14 + x^11 + x^10
x^214 + x^198 + x^192 + x^146 + x^58 + x^52 + x^44 + x^35 + x^34 + x^29
x^223 + x^213 + x^173 + x^145 + x^69 + x^36 + x^26 + x^25 + x^22 + x^2
x^214 + x^213 + x^205 + x^196 + x^183 + x^138 + x^101 + x^95 + x^43 + x^19
x^247 + x^245 + x^144 + x^133 + x^130 + x^114 + x^110 + x^98 + x^91 + x^9
x^201 + x^175 + x^152 + x^120 + x^110 + x^104 + x^100 + x^94 + x^87 + x^72
x^237 + x^236 + x^212 + x^180 + x^170 + x^87 + x^86 + x^12 + x^11 + x
x^243 + x^235 + x^215 + x^207 + x^189 + x^187 + x^172 + x^164 + x^157 + x^138
x^219 + x^212 + x^196 + x^184 + x^176 + x^163 + x^110 + x^54 + x^17 + x^9
x^247 + x^194 + x^142 + x^120 + x^74 + x^60 + x^59 + x^32 + x^25 + x^3
x^246 + x^230 + x^214 + x^197 + x^152 + x^104 + x^95 + x^61 + x^48 + x^19
x^247 + x^219 + x^194 + x^161 + x^130 + x^114 + x^103 + x^86 + x^49 + x^30
x^229 + x^219 + x^216 + x^194 + x^174 + x^166 + x^152 + x^117 + x^53 + x^11
x^243 + x^228 + x^224 + x^223 + x^206 + x^180 + x^117 + x^89 + x^15 + x^4
x^233 + x^229 + x^219 + x^191 + x^141 + x^121 + x^114 + x^58 + x^15 + x^6
x^223 + x^205 + x^170 + x^151 + x^97 + x^79 + x^78 + x^58 + x^44 + x^5
x^249 + x^210 + x^166 + x^162 + x^125 + x^106 + x^84 + x^83 + x^62 + x^51
x^169 + x^165 + x^146 + x^130 + x^114 + x^103 + x^71 + x^67 + x^7 + x^5
x^133 + x^106 + x^80 + x^35 + x^34 + x^33 + x^28 + x^14 + x^9 + x
x^242 + x^240 + x^177 + x^174 + x^173 + x^163 + x^96 + x^48 + x^22 + x^9
x^229 + x^217 + x^207 + x^184 + x^82 + x^63 + x^62 + x^60 + x^33 + x^24
x^159 + x^155 + x^146 + x^141 + x^126 + x^112 + x^103 + x^78 + x^6 + 1
x^246 + x^204 + x^186 + x^160 + x^115 + x^100 + x^90 + x^60 + x^56 + x^15
x^237 + x^234 + x^219 + x^159 + x^145 + x^100 + x^94 + x^87 + x^41 + x^33
x^248 + x^247 + x^204 + x^181 + x^178 + x^157 + x^131 + x^118 + x^99 + x^93
x^241 + x^233 + x^232 + x^230 + x^197 + x^170 + x^166 + x^164 + x^155 + x^77
x^248 + x^127 + x^119 + x^111 + x^83 + x^82 + x^54 + x^49 + x^40 + x^35
x^230 + x^229 + x^228 + x^199 + x^180 + x^146 + x^138 + x^64 + x^12 + x^10
x^211 + x^210 + x^174 + x^138 + x^121 + x^104 + x^103 + x^75 + x^38 + x^7
x^217 + x^215 + x^184 + x^148 + x^124 + x^108 + x^80 + x^27 + x^24 + x^9
x^219 + x^178 + x^161 + x^136 + x^121 + x^108 + x^92 + x^40 + x^30 + x^11
x^219 + x^166 + x^154 + x^105 + x^96 + x^94 + x^48 + x^39 + x^17 + x^16
x^167 + x^165 + x^138 + x^123 + x^90 + x^84 + x^35 + x^33 + x^11 + x^6
x^227 + x^198 + x^188 + x^177 + x^159 + x^154 + x^119 + x^114 + x^104 + x^84
x^218 + x^205 + x^202 + x^166 + x^154 + x^137 + x^133 + x^98 + x^90 + x^3
x^238 + x^200 + x^161 + x^150 + x^107 + x^100 + x^97 + x^88 + x^76 + x^47
x^246 + x^217 + x^215 + x^200 + x^172 + x^165 + x^134 + x^106 + x^59 + x^32
x^238 + x^229 + x^204 + x^203 + x^144 + x^88 + x^57 + x^53 + x^20 + x^12
x^226 + x^224 + x^165 + x^163 + x^138 + x^112 + x^90 + x^40 + x^39 + x^6
x^241 + x^229 + x^212 + x^100 + x^68 + x^58 + x^57 + x^54 + x^34 + x^21
x^221 + x^215 + x^198 + x^176 + x^170 + x^146 + x^118 + x^107 + x^69 + x^19
x^225 + x^151 + x^124 + x^107 + x^99 + x^94 + x^84 + x^51 + x^41 + x^11
x^231 + x^156 + x^148 + x^82 + x^77 + x^73 + x^70 + x^32 + x^25 + 1
x^235 + x^224 + x^160 + x^143 + x^117 + x^81 + x^54 + x^28 + x^13 + x^8
x^217 + x^188 + x^138 + x^125 + x^119 + x^105 + x^78 + x^68 + x^40 + x^13
x^204 + x^188 + x^104 + x^102 + x^90 + x^74 + x^47 + x^25 + x^24 + x^8
x^246 + x^210 + x^204 + x^128 + x^125 + x^118 + x^117 + x^80 + x^25 + x^5
x^228 + x^197 + x^158 + x^146 + x^142 + x^125 + x^97 + x^23 + x^18 + x^14
x^240 + x^199 + x^162 + x^88 + x^71 + x^58 + x^53 + x^38 + x^12 + x^10
x^247 + x^238 + x^228 + x^203 + x^181 + x^162 + x^156 + x^128 + x^123 + x^119
x^241 + x^225 + x^110 + x^71 + x^68 + x^50 + x^43 + x^37 + x^17 + x^14
x^244 + x^239 + x^216 + x^143 + x^138 + x^128 + x^125 + x^109 + x^97 + x^19
x^249 + x^242 + x^223 + x^197 + x^189 + x^81 + x^75 + x^50 + x^27 + x^17
x^241 + x^222 + x^162 + x^136 + x^132 + x^122 + x^105 + x^48 + x^46 + 1
x^246 + x^208 + x^128 + x^126 + x^124 + x^93 + x^83 + x^42 + x^33 + x^28
x^208 + x^108 + x^95 + x^83 + x^81 + x^80 + x^38 + x^24 + x^21 + x^4
x^239 + x^149 + x^148 + x^137 + x^124 + x^109 + x^105 + x^69 + x^62 + x^31
x^225 + x^150 + x^143 + x^140 + x^130 + x^119 + x^100 + x^83 + x^60 + x^50
